experiment_name,dataset_name,subset_name,selected_defects,run,model_name,image_AUROC,image_F1Score
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,2,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,2,CFA,0.8376068472862244,0.3478260934352875
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,2,STFPM,0.8384615182876587,0.4313725531101227
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,3,Patchcore,0.8888888955116272,0.517241358757019
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,3,PaDiM,0.9611111283302307,0.6666666865348816
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,3,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,3,CFA,0.8059828281402588,0.3896103799343109
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,3,STFPM,0.8957264423370361,0.4888888895511627
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,4,Patchcore,0.8999999761581421,0.5
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,4,PaDiM,0.9707265496253967,0.7428571581840515
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,4,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,4,CFA,0.7743589878082275,0.43478259444236755
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,4,STFPM,0.9158120155334473,0.5333333611488342
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,5,Patchcore,0.7525641322135925,0.3404255211353302
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,5,PaDiM,0.9692307710647583,0.7567567825317383
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,5,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,5,CFA,0.7846153378486633,0.36734694242477417
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,5,STFPM,0.9076922535896301,0.5098039507865906
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,6,Patchcore,0.9235043525695801,0.5581395626068115
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,6,PaDiM,0.9982905387878418,0.9411764740943909
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,6,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,6,CFA,0.8410256505012512,0.3921568691730499
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,6,STFPM,0.7688034176826477,0.3870967626571655
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,7,Patchcore,0.8559828996658325,0.4444444477558136
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,7,PaDiM,0.9745726585388184,0.8205128312110901
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,7,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,7,CFA,0.8756409883499146,0.42500001192092896
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,7,STFPM,0.8508546948432922,0.4583333432674408
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,8,Patchcore,0.8944444060325623,0.5199999809265137
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,8,PaDiM,0.9717947840690613,0.7804877758026123
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,8,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,8,CFA,0.8320512771606445,0.4642857015132904
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,8,STFPM,0.936752200126648,0.5454545617103577
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,9,Patchcore,0.595726490020752,0.29629629850387573
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,9,PaDiM,0.9581195712089539,0.6842105388641357
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,9,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,9,CFA,0.807692289352417,0.4363636374473572
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,9,STFPM,0.8132478594779968,0.3499999940395355
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,10,Patchcore,0.8901709914207458,0.6111111044883728
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,10,PaDiM,0.9713675379753113,0.7058823704719543
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,10,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,10,CFA,0.8179486989974976,0.3928571343421936
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,10,STFPM,0.8773504495620728,0.5
md_public_building_partial,Manufacturing_defects,public,Building_partially_erased,1,Patchcore,0.7759615778923035,0.4000000059604645
md_public_building_partial,Manufacturing_defects,public,Building_partially_erased,1,PaDiM,0.872115433216095,0.3448275923728943
